layer,tag,mean_delta,max_delta,changed_ratio,collapse_ratio
up_blocks.3.resnets.2.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.2.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.2.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.proj_in,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.attn2.to_k,uce_fp,0.0015572167467325926,0.032566070556640625,0.9807210564613342,0.5434325933456421
mid_block.attentions.0.transformer_blocks.0.attn2.to_v,uce_fp,0.0012860833667218685,0.027191162109375,0.9801269769668579,0.5916402339935303
mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.proj_out,uce_fp,0.0,0.0,0.0,1.0
mid_block.resnets.0.conv1,uce_fp,0.0,0.0,0.0,1.0
mid_block.resnets.0.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
mid_block.resnets.0.conv2,uce_fp,0.0,0.0,0.0,1.0
mid_block.resnets.1.conv1,uce_fp,0.0,0.0,0.0,1.0
mid_block.resnets.1.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
mid_block.resnets.1.conv2,uce_fp,0.0,0.0,0.0,1.0
conv_out,uce_fp,0.0,0.0,0.0,1.0
