block,same_bucket_ratio_over_fp_changed,cross_bucket_ratio_over_fp_changed,collapse_to_base_q_ratio_over_fp_changed,closer_to_uce_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed
down_blocks.0,0.36279457724387687,0.6372054227561231,1.141409688920695e-05,0.9999937743226512,0.0
down_blocks.1,0.34211260447202196,0.657887395527978,7.261261546951185e-06,0.9999968908860496,0.0
down_blocks.2,0.3479891533074311,0.6520108466925689,5.707296077077716e-06,0.9999948150420895,0.0
mid_block,0.3496512136845648,0.6503487863154351,6.228546977878369e-06,0.9999979236585557,0.0
up_blocks.1,0.35187844227031584,0.6481215577296842,6.05433154499852e-06,0.9999968854518931,0.0
up_blocks.2,0.32845585557344115,0.671544144426559,7.579216893103118e-06,0.9999951747435131,0.0
up_blocks.3,0.38263332859842736,0.6173666714015726,1.5225232772179948e-05,0.9999951639813717,0.0
