key,family,block,numel,fp_changed_count,fp_changed_ratio,pct_l2_change,pct_scalar_changed,fp_mean_abs_delta,fp_max_abs_delta,fp_mean_abs_delta_changed_only,qparam_source,bucket_mean,bucket_median,update_over_bucket_mean_changed_only,update_over_bucket_median_changed_only,frac_update_over_bucket_lt_05_changed_only,frac_update_over_bucket_05_1_changed_only,frac_update_over_bucket_ge_1_changed_only,same_bucket_count,cross_bucket_count,same_bucket_ratio_over_fp_changed,cross_bucket_ratio_over_fp_changed,q_mean_abs_delta_to_base_all,q_mean_abs_delta_to_base_changed_only,q_survival_count,q_survival_ratio_over_fp_changed,closer_to_uce_count,closer_to_base_count,tie_count,closer_to_uce_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed,tie_ratio_over_fp_changed,collapse_to_base_q_count,collapse_to_base_q_ratio_over_fp_changed,same_sign_count,same_sign_ratio_over_fp_changed,mean_shrinkage_ratio_changed_only,median_shrinkage_ratio_changed_only
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.2,983040,966426,0.983099365234375,5.706926844112568,98.3099365234375,0.0017186091281473637,0.043557167053222656,0.0017481540562584996,saved_w_scale,0.0012093378463760018,0.0012003066949546337,1.452631950378418,0.832187831401825,36.32797598838806,19.089925289154053,44.582098722457886,326312,640114,0.3376482006899649,0.6623517993100351,0.0017186857294291258,0.0017480466049164534,966426,1.0,966421,0,5,0.9999948262981335,0.0,5.1737018664646856e-06,7,7.243182613050559e-06,966426,1.0,0.9990156292915344,0.9999887347221375
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.2,983040,963502,0.9801249186197917,5.05565545772197,98.01249186197917,0.0009693445172160864,0.0173492431640625,0.0009890008950605989,saved_w_scale,0.0007755946135148406,0.0007630885811522603,1.284788966178894,0.7374020218849182,39.346882700920105,19.666072726249695,40.9870445728302,350906,612596,0.36419851749140114,0.6358014825085988,0.0009693933534435928,0.0009889177745208144,963502,1.0,963493,0,9,0.9999906590749162,0.0,9.340925083705067e-06,4,4.151522259424475e-06,963502,1.0,0.998794674873352,0.9999792575836182
mid_block.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,mid_block,983040,963565,0.9801890055338541,5.865949234599764,98.01890055338541,0.0014798404881730676,0.031017303466796875,0.0015097502619028091,saved_w_scale,0.0010263988515362144,0.001003990531899035,1.4785261154174805,0.8305279612541199,36.55301034450531,18.8133642077446,44.63362693786621,327237,636328,0.33961071645400154,0.6603892835459985,0.0014799002092331648,0.0015096379211172462,963565,1.0,963564,0,1,0.999998962187294,0.0,1.0378127059409588e-06,5,5.189063529704794e-06,963565,1.0,0.9988256096839905,0.9999806880950928
mid_block.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,mid_block,983040,963122,0.9797383626302083,4.994755318930219,97.97383626302083,0.0012221864890307188,0.02587890625,0.0012474621180444956,saved_w_scale,0.0009705040720291436,0.0009832523064687848,1.2997589111328125,0.7520792484283447,38.82104158401489,19.67248171567917,41.50647521018982,346427,616695,0.3596917109151281,0.6403082890848719,0.0012222453951835632,0.0012473494280129671,963122,1.0,963119,0,3,0.9999968851298174,0.0,3.11487018259369e-06,7,7.268030426051943e-06,963122,1.0,0.9987161755561829,0.9999804496765137
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,up_blocks.1,983040,965117,0.9817677815755208,5.5581667051930825,98.17677815755208,0.001807925058528781,0.029216766357421875,0.0018414995865896344,saved_w_scale,0.0013089872663840652,0.001300178118981421,1.421068787574768,0.8024469614028931,37.29672133922577,19.161510467529297,43.541768193244934,334053,631064,0.34612694626661844,0.6538730537333816,0.0018080087611451745,0.0018413742072880268,965117,1.0,965116,0,1,0.9999989638561957,0.0,1.0361438043263148e-06,7,7.253006630284204e-06,965117,1.0,0.9990485906600952,0.9999818801879883
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,up_blocks.1,983040,964083,0.9807159423828125,5.3289649110202975,98.07159423828125,0.0013070573331788182,0.02414703369140625,0.0013327584601938725,saved_w_scale,0.0009871784131973982,0.0009886231273412704,1.3642170429229736,0.7771261930465698,37.90752589702606,19.527468085289,42.56500601768494,338454,625629,0.35106313460563043,0.6489368653943696,0.0013071219436824322,0.0013326626503840089,964083,1.0,964079,0,4,0.9999958509796356,0.0,4.149020364429204e-06,7,7.260785637751107e-06,964083,1.0,0.9989339113235474,0.9999823570251465
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight,to_k,up_blocks.1,983040,964223,0.9808583577473958,5.554159263817186,98.08583577473958,0.0018984968774020672,0.034122467041015625,0.0019355462864041328,saved_w_scale,0.0013698861002922058,0.0013582464307546616,1.4235798120498657,0.8270126581192017,36.022475361824036,19.756944477558136,44.22057867050171,324469,639754,0.33650825587027067,0.6634917441297293,0.001898595248349011,0.001935422420501709,964223,1.0,964219,0,4,0.9999958515820511,0.0,4.14841794895994e-06,4,4.14841794895994e-06,964223,1.0,0.9988456964492798,0.9999855756759644
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,to_v,up_blocks.1,983040,959538,0.976092529296875,4.975592291303629,97.6092529296875,0.0013684557052329183,0.0319976806640625,0.0014019733062013984,saved_w_scale,0.001120067434385419,0.0011150246718898416,1.2565529346466064,0.7213109731674194,39.962565898895264,19.769826531410217,40.26760756969452,355205,604333,0.37018335907488814,0.6298166409251119,0.00136853929143399,0.0014018365181982517,959538,1.0,959535,0,3,0.9999968734953697,0.0,3.1265046303533577e-06,6,6.253009260706715e-06,959538,1.0,0.9983010292053223,0.9999764561653137
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_k.weight,to_k,up_blocks.1,983040,966199,0.9828684488932292,5.353875857758243,98.28684488932292,0.0018006112659350038,0.0343780517578125,0.0018319960217922926,saved_w_scale,0.0013577495701611042,0.001350242062471807,1.3590621948242188,0.7784518599510193,37.74067163467407,19.800372421741486,42.45895445346832,337823,628376,0.34964122297787514,0.6503587770221249,0.0018006997415795922,0.0018318775109946728,966199,1.0,966197,0,2,0.999997930033047,0.0,2.0699669529775955e-06,5,5.174917382443989e-06,966199,1.0,0.9991113543510437,0.9999873638153076
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v.weight,to_v,up_blocks.1,983040,962178,0.978778076171875,5.089248765960009,97.8778076171875,0.001297291717492044,0.025115966796875,0.0013254198711365461,saved_w_scale,0.0010372360702604055,0.0010310044744983315,1.2974528074264526,0.7569928169250488,38.48944902420044,19.90026831626892,41.61028563976288,344217,617961,0.3577477348266121,0.6422522651733878,0.0012973621487617493,0.0013253091601654887,962178,1.0,962174,0,4,0.9999958427650602,0.0,4.157234939896776e-06,6,6.235852409845164e-06,962178,1.0,0.9988424777984619,0.9999825954437256
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,up_blocks.2,491520,484506,0.98572998046875,5.86879527793539,98.572998046875,0.002160177333280444,0.03668212890625,0.0021914495155215263,saved_w_scale,0.0015037768753245473,0.0014802797231823206,1.4734762907028198,0.8528050184249878,35.87220907211304,18.79708468914032,45.33070921897888,162099,322407,0.3345655162165174,0.6654344837834826,0.0021602411288768053,0.0021913202945142984,484506,1.0,484504,0,2,0.9999958720841434,0.0,4.12791585656318e-06,4,8.25583171312636e-06,484506,1.0,0.9991830587387085,0.9999926686286926
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,up_blocks.2,491520,482430,0.98150634765625,5.448716778100213,98.150634765625,0.0018289448926225305,0.03325080871582031,0.0018634062726050615,saved_w_scale,0.0014156873803585768,0.0014110775664448738,1.3358873128890991,0.7716487050056458,38.10604512691498,19.567398726940155,42.32655465602875,170521,311909,0.3534626785233091,0.646537321476691,0.0018290318548679352,0.0018632839201018214,482430,1.0,482428,0,2,0.9999958543208342,0.0,4.145679165889352e-06,3,6.218518748834028e-06,482430,1.0,0.9990862607955933,0.9999898076057434
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k.weight,to_k,up_blocks.2,491520,484325,0.9853617350260416,6.6477117268394705,98.53617350260416,0.002131183398887515,0.041675567626953125,0.002162843942642212,saved_w_scale,0.0012847885955125093,0.0012695849873125553,1.6790475845336914,0.9620803594589233,32.70902931690216,18.41655969619751,48.87441396713257,148178,336147,0.30594745264027257,0.6940525473597274,0.0021312525495886803,0.0021627498790621758,484325,1.0,484324,0,1,0.9999979352707377,0.0,2.064729262375471e-06,5,1.0323646311877355e-05,484325,1.0,0.9993525743484497,0.9999912977218628
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight,to_v,up_blocks.2,491520,485031,0.986798095703125,6.647383398212483,98.6798095703125,0.001478868187405169,0.03154754638671875,0.0014986534370109439,saved_w_scale,0.0009426398319192231,0.0009196062455885112,1.5869966745376587,0.9170595407485962,33.664241433143616,18.89466792345047,47.441092133522034,152106,332925,0.31360057398393093,0.6863994260160691,0.0014789114939048886,0.001498597557656467,485031,1.0,485028,0,3,0.9999938148283306,0.0,6.185171669439686e-06,3,6.185171669439686e-06,485031,1.0,0.9994696378707886,0.9999902248382568
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_k.weight,to_k,up_blocks.2,491520,483202,0.9830769856770833,6.320107599050154,98.30769856770833,0.002027884591370821,0.036407470703125,0.0020627931226044893,saved_w_scale,0.0012928483774885535,0.0012937452411279082,1.6099739074707031,0.9044365882873535,35.04828214645386,17.710191011428833,47.24152684211731,157559,325643,0.32607273976515,0.6739272602348501,0.0020279502496123314,0.002062662038952112,483202,1.0,483200,0,2,0.9999958609442842,0.0,4.139055715828991e-06,5,1.0347639289572478e-05,483202,1.0,0.9989470839500427,0.9999877214431763
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v.weight,to_v,up_blocks.2,491520,482568,0.981787109375,6.22377461678584,98.1787109375,0.001202380401082337,0.02325439453125,0.0012246854603290558,saved_w_scale,0.0008475514478050172,0.000848238414619118,1.4578064680099487,0.8357609510421753,36.26100420951843,19.027163088321686,44.711834192276,162667,319901,0.337086172311467,0.662913827688533,0.00120243348646909,0.0012246210826560855,482568,1.0,482564,0,4,0.9999917110127484,0.0,8.288987251537607e-06,2,4.1444936257688035e-06,482568,1.0,0.9991118907928467,0.9999904632568359
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,up_blocks.3,245760,242210,0.9855550130208334,5.800020426132365,98.55550130208334,0.001737903687171638,0.036773681640625,0.0017633757088333368,saved_w_scale,0.0015818586107343435,0.0015239497879520059,1.1961095333099365,0.6544705629348755,42.63159930706024,19.67383623123169,37.69456148147583,94866,147344,0.39166838693695555,0.6083316130630445,0.0017379591008648276,0.0017632616218179464,242210,1.0,242209,0,1,0.9999958713513067,0.0,4.128648693282689e-06,0,0.0,242210,1.0,0.99913090467453,0.9999905824661255
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,up_blocks.3,245760,240150,0.9771728515625,4.7655258725744245,97.71728515625,0.00040629113209433854,0.0081634521484375,0.0004157822404522449,saved_w_scale,0.0003745000867638737,0.00034856528509408236,1.187558889389038,0.6516035795211792,42.540910840034485,20.1049342751503,37.3541533946991,93650,146500,0.389964605454924,0.610035394545076,0.0004063204687554389,0.000415748538216576,240150,1.0,240150,0,0,1.0,0.0,0.0,7,2.9148448886112847e-05,240150,1.0,0.9985383749008179,0.9999821186065674
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_k.weight,to_k,up_blocks.3,245760,240983,0.9805623372395833,5.6868645356673815,98.05623372395833,0.0018359831301495433,0.03594970703125,0.0018723775865510106,saved_w_scale,0.001534234150312841,0.0015147808007895947,1.2756588459014893,0.742602527141571,39.62893784046173,19.166497886180878,41.20456576347351,88763,152220,0.36833718561060325,0.6316628143893968,0.0018360464600846171,0.0018722155364230275,240983,1.0,240982,0,1,0.9999958503296913,0.0,4.149670308693975e-06,3,1.2449010926081922e-05,240983,1.0,0.9986530542373657,0.99998539686203
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v.weight,to_v,up_blocks.3,245760,241594,0.9830485026041667,5.442731546445096,98.30485026041667,0.0006057108985260129,0.015649795532226562,0.0006161556812003255,saved_w_scale,0.0005040246178396046,0.0004528755962383002,1.3109585046768188,0.7416656613349915,38.7497216463089,20.464912056922913,40.78536629676819,87181,154413,0.360857471625951,0.6391425283740491,0.0006057276041246951,0.0006161049241200089,241594,1.0,241593,0,1,0.9999958608243582,0.0,4.139175641779183e-06,4,1.6556702567116733e-05,241594,1.0,0.9990075826644897,0.9999824166297913
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_k.weight,to_k,up_blocks.3,245760,241465,0.9825236002604166,5.119727644317961,98.25236002604166,0.0014779396587982774,0.02630615234375,0.0015042279846966267,saved_w_scale,0.0014486260479316115,0.001431385986506939,1.1150743961334229,0.6254344582557678,43.77073347568512,20.225705206394196,36.003562808036804,97123,144342,0.402223924792413,0.597776075207587,0.001478011952713132,0.0015041130827739835,241465,1.0,241464,0,1,0.9999958586130495,0.0,4.141386950489719e-06,2,8.282773900979438e-06,241465,1.0,0.9989330768585205,0.9999799728393555
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v.weight,to_v,up_blocks.3,245760,240824,0.9799153645833333,5.55558884225892,97.99153645833333,0.0005594638059847057,0.012670516967773438,0.0005709307151846588,saved_w_scale,0.000490577716846019,0.00044994743075221777,1.2351398468017578,0.6853643655776978,41.339316964149475,19.771285355091095,38.88939619064331,92175,148649,0.3827483971697173,0.6172516028302827,0.0005594889516942203,0.0005708911921828985,240824,1.0,240821,0,3,0.9999875427698236,0.0,1.245723017639438e-05,6,2.491446035278876e-05,240824,1.0,0.9986079931259155,0.9999864101409912
