stage,num_tensors,numel,changed_count,l1_delta,l2_delta_sq,l2_delta,linf_delta,mean_abs_delta,changed_ratio_weighted,l1_share_global,l2_energy_share_global
up,219,510604480,10135297,17120.51058959961,77.06867116689682,0.1557135596939418,0.0437469482421875,0.00012941096965691338,0.019849604531476106,0.5850463461801199,0.6147210177859238
down,141,249497920,6755386,9347.92333984375,37.949288085103035,0.13468352256091773,0.045723915100097656,0.00011325962300716193,0.02707592111389145,0.3194395614386492,0.30269400837867183
mid,26,97003520,1927766,2795.0777587890625,10.353825569152832,0.174087799512423,0.032566070556640625,0.00010935769667132542,0.01987315511849467,0.09551409238123093,0.0825849738354043
other,5,2071360,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
