stage,num_tensors,numel,fp_changed_count,l1_delta,l2_delta_sq,closer_to_fp_count,closer_to_base_count,fp_changed_ratio_weighted,l1_share_global,l2_energy_share_global,closer_to_fp_ratio,closer_to_base_ratio
up,108,373534720,327528651,18066.41228532791,4.691496855404694,327515456,0,0.8768358962722395,0.6031149597172324,0.5904094798459794,0.9999597134480916,0.0
down,66,160890880,141467751,8852.037417411804,2.536101051897276,141463205,0,0.8792776259288283,0.29550948501011987,0.31915999286294944,0.9999678654677984,0.0
mid,12,70778880,62100133,3036.722183227539,0.7185767656192183,62097591,0,0.877382250185366,0.10137555527264781,0.0904305272910712,0.9999590661102127,0.0
