quant_model,key,numel,fp_changed_count,fp_changed_ratio,fp_mean_abs_delta,fp_max_abs_delta,fp_mean_abs_delta_changed_only,q_mean_abs_delta_to_base_all,q_mean_abs_delta_to_base_changed_only,q_survival_count,q_survival_ratio_over_fp_changed,closer_to_uce_count,closer_to_base_count,tie_count,closer_to_uce_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed,tie_ratio_over_fp_changed,same_sign_count,same_sign_ratio_over_fp_changed,mean_shrinkage_ratio_changed_only,median_shrinkage_ratio_changed_only
uce_int8,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k.weight,245760,241167,0.98131103515625,0.0022482892964035273,0.0413818359375,0.0022911077830940485,0.002248371485620737,0.0022909496910870075,241167,1.0,241112,0,55,0.9997719422640743,0.0,0.00022805773592572782,241167,1.0,0.9985877275466919,1.0
uce_int8,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,245760,240518,0.9786702473958333,0.000648115761578083,0.012603759765625,0.0006622412474825978,0.0006481570308096707,0.0006621936918236315,240518,1.0,240474,0,44,0.9998170615089099,0.0,0.00018293849109006393,240518,1.0,0.9990803599357605,1.0
uce_int8,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k.weight,245760,241065,0.98089599609375,0.001575905829668045,0.027706146240234375,0.001606598380021751,0.0015759693924337626,0.0016064789379015565,241065,1.0,240971,0,94,0.9996100636757721,0.0,0.00038993632422790534,241065,1.0,0.9988750219345093,1.0
uce_int8,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,245760,241709,0.9835164388020833,0.0004666833265218884,0.009837150573730469,0.00047450486454181373,0.0004667164175771177,0.00047449133126065135,241709,1.0,241670,0,39,0.9998386489539074,0.0,0.0001613510460926155,241709,1.0,0.99925297498703,1.0
uce_int8,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight,491520,485032,0.9868001302083333,0.0022571003064513206,0.0380859375,0.002287292154505849,0.0022571743465960026,0.0022872036788612604,485032,1.0,484982,0,50,0.9998969140180441,0.0,0.00010308598195582972,485032,1.0,0.9994422793388367,1.0
uce_int8,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,491520,482550,0.98175048828125,0.0007990166777744889,0.0228729248046875,0.0008138693519867957,0.0007990531739778817,0.0008138218545354903,482550,1.0,482490,0,60,0.9998756605533106,0.0,0.00012433944668946222,482550,1.0,0.99920654296875,1.0
uce_int8,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight,491520,484199,0.9851053873697917,0.00183130765799433,0.0406951904296875,0.001858996576629579,0.001831354689784348,0.0018588920356705785,484199,1.0,484138,0,61,0.9998740187402287,0.0,0.0001259812597712924,484199,1.0,0.9992651343345642,1.0
uce_int8,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,491520,480939,0.978472900390625,0.0006248990539461374,0.02693939208984375,0.0006386472377926111,0.0006249250727705657,0.0006385940941981971,480939,1.0,480878,0,61,0.99987316478805,0.0,0.00012683521194995623,480939,1.0,0.9985308647155762,1.0
uce_int8,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k.weight,983040,965867,0.9825307210286458,0.001705241040326655,0.03765869140625,0.0017355600139126182,0.0017053039046004415,0.001735462574288249,965867,1.0,965751,0,116,0.9998799006488471,0.0,0.00012009935115290201,965867,1.0,0.999041736125946,1.0
uce_int8,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,983040,961424,0.9780110677083333,0.0009845379972830415,0.022159576416015625,0.0010066736722365022,0.0009845958556979895,0.0010065974202007055,961424,1.0,961281,0,143,0.9998512622942635,0.0,0.00014873770573649086,961424,1.0,0.9986332654953003,1.0
uce_int8,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k.weight,983040,966855,0.9835357666015625,0.0018084789626300335,0.045723915100097656,0.0018387527670711279,0.001808555913157761,0.0018386523006483912,966855,1.0,966746,0,109,0.999887263343521,0.0,0.00011273665647899634,966855,1.0,0.9991219639778137,1.0
uce_int8,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight,983040,964061,0.9806935628255208,0.001020030933432281,0.0182037353515625,0.0010401117615401745,0.0010200866963714361,0.0010400391183793545,964061,1.0,963943,0,118,0.9998776011061541,0.0,0.00012239889384592885,964061,1.0,0.9989281296730042,1.0
uce_int8,mid_block.attentions.0.transformer_blocks.0.attn2.to_k.weight,983040,964166,0.9808003743489583,0.0015572167467325926,0.032566070556640625,0.0015876998659223318,0.0015572868287563324,0.0015876053366810083,964166,1.0,964021,0,145,0.9998496109591087,0.0,0.0001503890408912988,964166,1.0,0.999019980430603,1.0
uce_int8,mid_block.attentions.0.transformer_blocks.0.attn2.to_v.weight,983040,963600,0.980224609375,0.0012860833667218685,0.027191162109375,0.001312029198743403,0.0012861579889431596,0.0013119387440383434,963600,1.0,963499,0,101,0.9998951847239519,0.0,0.00010481527604815277,963600,1.0,0.9988890886306763,1.0
