quant_model,keys_analyzed,total_numel,total_fp_changed,total_fp_changed_ratio,weighted_q_survival_ratio_over_fp_changed,weighted_closer_to_uce_ratio_over_fp_changed,weighted_closer_to_base_ratio_over_fp_changed,weighted_tie_ratio_over_fp_changed,weighted_same_sign_ratio_over_fp_changed,mean_of_key_fp_mean_abs_delta,mean_of_key_fp_mean_abs_delta_changed_only,mean_of_key_q_mean_abs_delta_to_base_changed_only,mean_of_key_shrinkage,median_of_key_shrinkage
uce_int4,32,19169280,18818449,0.9816982693142361,1.0,0.9998635913087205,0.0,0.00013640869127949916,1.0,0.0014735596660102601,0.0014997259131632745,0.001499634903666447,0.9990144576877356,1.0
uce_int8,32,19169280,18818449,0.9816982693142361,1.0,0.9998635913087205,0.0,0.00013640869127949916,1.0,0.0014735596660102601,0.0014997259131632745,0.001499634903666447,0.9990144576877356,1.0
