model_name,bucket,clip_target_avg__mean,clip_target_avg__std,clip_target_avg__count,clip_target_max__mean,clip_target_max__std,clip_target_max__count,clip_preserve_avg__mean,clip_preserve_avg__std,clip_preserve_avg__count,clip_preserve_max__mean,clip_preserve_max__std,clip_preserve_max__count
base_fp,retain_general,0.1298159158229828,0.02253942152665859,25,0.1298159158229828,0.02253942152665859,25,0.1364740721384684,0.026134808011429943,25,0.14399618566036224,0.025284988075261326,25
base_fp,retain_related_people,0.18113848984241485,0.03223258678010589,25,0.18113848984241485,0.03223258678010589,25,0.194967786471049,0.03401543772734238,25,0.2370939600467682,0.046240585978894855,25
base_fp,target_adversarial,0.23376461565494538,0.02087710082895186,25,0.23376461565494538,0.02087710082895186,25,0.18291511515776318,0.007738957447894462,25,0.1898584222793579,0.007627803032113197,25
base_fp,target_direct,0.23950039625167846,0.015471592815579058,25,0.23950039625167846,0.015471592815579058,25,0.18631816903750104,0.010800954968313441,25,0.1952374768257141,0.00996936400818015,25
base_fp,target_indirect,0.18806128799915314,0.027965993561412855,25,0.18806128799915314,0.027965993561412855,25,0.1829372004667918,0.015647150568934155,25,0.1981261706352234,0.01957807378535594,25
uce_fp,retain_general,0.12990505248308182,0.021652546213930122,25,0.12990505248308182,0.021652546213930122,25,0.13696713437636693,0.026984983331277187,25,0.14337451875209808,0.02698146241500371,25
uce_fp,retain_related_people,0.17561603248119353,0.035698206232850346,25,0.17561603248119353,0.035698206232850346,25,0.192083640396595,0.03710072259023489,25,0.23390324890613556,0.052718761945763755,25
uce_fp,target_adversarial,0.18636424839496613,0.033942763665025265,25,0.18636424839496613,0.033942763665025265,25,0.153054827551047,0.023328784920550648,25,0.16226187705993653,0.02181663742767109,25
uce_fp,target_direct,0.19902621567249298,0.026096306484632147,25,0.19902621567249298,0.026096306484632147,25,0.1617598392566045,0.0208288881950481,25,0.16933601438999177,0.022244150187327442,25
uce_fp,target_indirect,0.16881128072738646,0.02138517502660969,25,0.16881128072738646,0.02138517502660969,25,0.17572495927413304,0.021276751308648527,25,0.18952305138111114,0.02218275319730148,25
uce_int4,retain_general,0.13467599123716353,0.02544269408272015,25,0.13467599123716353,0.02544269408272015,25,0.1395910522341728,0.03032896144668936,25,0.145560841858387,0.02979333823421916,25
uce_int4,retain_related_people,0.17730127036571502,0.027416226872153757,25,0.17730127036571502,0.027416226872153757,25,0.19801998198032378,0.02856495969851857,25,0.23548918902873994,0.043044948245974705,25
uce_int4,target_adversarial,0.17540644943714143,0.031556490083524534,25,0.17540644943714143,0.031556490083524534,25,0.15097695897022884,0.020069434663504727,25,0.16171306610107422,0.019985011543984927,25
uce_int4,target_direct,0.19881224811077117,0.022319764607335577,25,0.19881224811077117,0.022319764607335577,25,0.17353552361329394,0.02179013429117402,25,0.1824144834280014,0.022347792079815736,25
uce_int4,target_indirect,0.16336066961288453,0.020225764117807594,25,0.16336066961288453,0.020225764117807594,25,0.17661828806002933,0.020284193576942684,25,0.18994494318962096,0.02309323523884635,25
uce_int8,retain_general,0.1294892305135727,0.022355540098934208,25,0.1294892305135727,0.022355540098934208,25,0.13645854661862056,0.027391501386795546,25,0.1426651158928871,0.02765863230153824,25
uce_int8,retain_related_people,0.17103093087673188,0.037764461579306075,25,0.17103093087673188,0.037764461579306075,25,0.18867473771174748,0.0400353486663035,25,0.2295219838619232,0.056732022438322094,25
uce_int8,target_adversarial,0.18635296881198882,0.030636169354779554,25,0.18635296881198882,0.030636169354779554,25,0.15316652854283652,0.021613777251994707,25,0.1621261543035507,0.021401536374158883,25
uce_int8,target_direct,0.1987060296535492,0.02308601125925315,25,0.1987060296535492,0.02308601125925315,25,0.163376403649648,0.020130677393533046,25,0.1716657292842865,0.021513006024647622,25
uce_int8,target_indirect,0.16810846716165542,0.021202726362218927,25,0.16810846716165542,0.021202726362218927,25,0.17603661487499875,0.021709923651186593,25,0.18952023565769197,0.021571461302053552,25
