block,same_bucket_ratio_over_fp_changed,cross_bucket_ratio_over_fp_changed,collapse_to_base_q_ratio_over_fp_changed,closer_to_uce_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed
down_blocks.0,0.35139450980574666,0.6486054901942533,1.3469102175826237e-05,0.999759429100666,0.0
down_blocks.1,0.33079482410441635,0.6692051758955837,1.2946511568396904e-05,0.9998799395249084,0.0
down_blocks.2,0.33673969538205817,0.6632603046179418,8.817211590879753e-06,0.9998740068481964,0.0
mid_block,0.33852888144819226,0.6614711185518077,9.855816542951557e-06,0.9998723978415303,0.0
up_blocks.1,0.3404616361142081,0.6595383638857919,7.262865321729082e-06,0.9998855329772187,0.0
up_blocks.2,0.3174585894999518,0.6825414105000481,6.885999969069506e-06,0.9998759841581181,0.0
up_blocks.3,0.37091147137275554,0.6290885286272445,1.659375274863967e-05,0.9997590031670716,0.0
