key,family,block,numel,fp_changed_count,fp_changed_ratio,pct_l2_change,pct_scalar_changed,fp_mean_abs_delta,fp_max_abs_delta,fp_mean_abs_delta_changed_only,qparam_source,bucket_mean,bucket_median,update_over_bucket_mean_changed_only,update_over_bucket_median_changed_only,frac_update_over_bucket_lt_05_changed_only,frac_update_over_bucket_05_1_changed_only,frac_update_over_bucket_ge_1_changed_only,same_bucket_count,cross_bucket_count,same_bucket_ratio_over_fp_changed,cross_bucket_ratio_over_fp_changed,q_mean_abs_delta_to_base_all,q_mean_abs_delta_to_base_changed_only,q_survival_count,q_survival_ratio_over_fp_changed,closer_to_uce_count,closer_to_base_count,tie_count,closer_to_uce_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed,tie_ratio_over_fp_changed,collapse_to_base_q_count,collapse_to_base_q_ratio_over_fp_changed,same_sign_count,same_sign_ratio_over_fp_changed,mean_shrinkage_ratio_changed_only,median_shrinkage_ratio_changed_only
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.0,245760,241167,0.98131103515625,6.1892845614791385,98.131103515625,0.0022482892964035273,0.0413818359375,0.0022911077830940485,saved_w_scale,0.0015021917643025517,0.0015548837836831808,1.5342143774032593,0.8876938819885254,34.59594249725342,18.90100985765457,46.50304615497589,77886,163281,0.3229546330965679,0.6770453669034321,0.002248371485620737,0.0022909496910870075,241167,1.0,241112,0,55,0.9997719422640743,0.0,0.00022805773592572782,2,8.293008579117375e-06,241167,1.0,0.9985877275466919,1.0
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.0,245760,240518,0.9786702473958333,5.122288431790121,97.86702473958333,0.000648115761578083,0.012603759765625,0.0006622412474825978,saved_w_scale,0.0005281133344396949,0.0005200566374696791,1.2594743967056274,0.7188793420791626,39.91011083126068,20.07874697446823,40.01114368438721,88848,151670,0.36940270582659096,0.630597294173409,0.0006481570308096707,0.0006621936918236315,240518,1.0,240474,0,44,0.9998170615089099,0.0,0.00018293849109006393,2,8.31538595863927e-06,240518,1.0,0.9990803599357605,1.0
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.0,245760,241065,0.98089599609375,5.399366127347551,98.089599609375,0.001575905829668045,0.027706146240234375,0.001606598380021751,saved_w_scale,0.0013595784548670053,0.0013019128236919641,1.24468195438385,0.7108171582221985,40.23147225379944,20.021985471248627,39.746540784835815,89412,151653,0.37090411299856885,0.6290958870014312,0.0015759693924337626,0.0016064789379015565,241065,1.0,240971,0,94,0.9996100636757721,0.0,0.00038993632422790534,3,1.2444776305145916e-05,241065,1.0,0.9988750219345093,1.0
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.0,245760,241709,0.9835164388020833,4.992554744204133,98.35164388020833,0.0004666833265218884,0.009837150573730469,0.00047450486454181373,saved_w_scale,0.00039313334855251014,0.00031446092179976404,1.344403862953186,0.7921736240386963,36.64571940898895,20.64383178949356,42.710450291633606,82741,158968,0.34231658730125897,0.6576834126987411,0.0004667164175771177,0.00047449133126065135,241709,1.0,241670,0,39,0.9998386489539074,0.0,0.0001613510460926155,6,2.4823237860402384e-05,241709,1.0,0.99925297498703,1.0
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.1,491520,485032,0.9868001302083333,6.403521737608213,98.68001302083333,0.0022571003064513206,0.0380859375,0.002287292154505849,saved_w_scale,0.0014066767180338502,0.0014019901864230633,1.6368480920791626,0.9380067586898804,33.0662727355957,18.798141181468964,48.13558757305145,149393,335639,0.3080064820465454,0.6919935179534547,0.0022571743465960026,0.0022872036788612604,485032,1.0,484982,0,50,0.9998969140180441,0.0,0.00010308598195582972,4,8.246878556466378e-06,485032,1.0,0.9994422793388367,1.0
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.1,491520,482550,0.98175048828125,5.9172658995293155,98.175048828125,0.0007990166777744889,0.0228729248046875,0.0008138693519867957,saved_w_scale,0.0005662215407937765,0.0005462193512357771,1.4314321279525757,0.808740496635437,36.89213693141937,19.4091796875,43.69868338108063,165050,317500,0.3420370946015957,0.6579629053984043,0.0007990531739778817,0.0008138218545354903,482550,1.0,482490,0,60,0.9998756605533106,0.0,0.00012433944668946222,10,2.072324111491037e-05,482550,1.0,0.99920654296875,1.0
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.1,491520,484199,0.9851053873697917,6.261005835439191,98.51053873697917,0.00183130765799433,0.0406951904296875,0.001858996576629579,saved_w_scale,0.0012171397684141994,0.0011851717717945576,1.534859538078308,0.8874766826629639,34.497591853141785,19.057247042655945,46.44516110420227,155921,328278,0.32201842630819144,0.6779815736918086,0.001831354689784348,0.0018588920356705785,484199,1.0,484138,0,61,0.9998740187402287,0.0,0.0001259812597712924,4,8.261066214510975e-06,484199,1.0,0.9992651343345642,1.0
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.1,491520,480939,0.978472900390625,6.048668919875863,97.8472900390625,0.0006248990539461374,0.02693939208984375,0.0006386472377926111,saved_w_scale,0.0004735191760119051,0.00041159565444104373,1.3436393737792969,0.779708206653595,37.73014843463898,19.81186866760254,42.457982897758484,168866,312073,0.3511172934613329,0.6488827065386671,0.0006249250727705657,0.0006385940941981971,480939,1.0,480878,0,61,0.99987316478805,0.0,0.00012683521194995623,7,1.4554860387699895e-05,480939,1.0,0.9985308647155762,1.0
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.2,983040,965867,0.9825307210286458,6.167114023349357,98.25307210286458,0.001705241040326655,0.03765869140625,0.0017355600139126182,saved_w_scale,0.0011023791739717126,0.0011119008995592594,1.5708585977554321,0.9083274006843567,33.94162952899933,18.90198141336441,47.15638756752014,306090,659777,0.3169069861585498,0.6830930138414503,0.0017053039046004415,0.001735462574288249,965867,1.0,965751,0,116,0.9998799006488471,0.0,0.00012009935115290201,6,6.212035404460449e-06,965867,1.0,0.999041736125946,1.0
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.2,983040,961424,0.9780110677083333,5.346773113839727,97.80110677083333,0.0009845379972830415,0.022159576416015625,0.0010066736722365022,saved_w_scale,0.0007493731682188809,0.0007407289231196046,1.3541864156723022,0.7827408909797668,37.776777148246765,19.51553076505661,42.707690596580505,337239,624185,0.35077031569838074,0.6492296843016193,0.0009845958556979895,0.0010065974202007055,961424,1.0,961281,0,143,0.9998512622942635,0.0,0.00014873770573649086,13,1.352160961240826e-05,961424,1.0,0.9986332654953003,1.0
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.2,983040,966855,0.9835357666015625,6.0016717231719054,98.35357666015625,0.0018084789626300335,0.045723915100097656,0.0018387527670711279,saved_w_scale,0.0012095136335119605,0.0012006554752588272,1.5275146961212158,0.8751540184020996,35.11819243431091,18.793821334838867,46.08798623085022,315670,651185,0.326491562850686,0.673508437149314,0.001808555913157761,0.0018386523006483912,966855,1.0,966746,0,109,0.999887263343521,0.0,0.00011273665647899634,8,8.27425001680707e-06,966855,1.0,0.9991219639778137,1.0
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.2,983040,964061,0.9806935628255208,5.316717887803538,98.06935628255208,0.001020030933432281,0.0182037353515625,0.0010401117615401745,saved_w_scale,0.000775665626861155,0.0007628279272466898,1.3509482145309448,0.7754819989204407,38.076117634773254,19.417236745357513,42.50664710998535,340111,623950,0.3527899168206161,0.6472100831793839,0.0010200866963714361,0.0010400391183793545,964061,1.0,963943,0,118,0.9998776011061541,0.0,0.00012239889384592885,7,7.260951329843236e-06,964061,1.0,0.9989281296730042,1.0
mid_block.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,mid_block,983040,964166,0.9808003743489583,6.168939142001843,98.08003743489583,0.0015572167467325926,0.032566070556640625,0.0015876998659223318,saved_w_scale,0.0010265366872772574,0.0010035739978775382,1.5544421672821045,0.8733385801315308,35.36403477191925,18.55240762233734,46.08355760574341,317084,647082,0.32886868028949373,0.6711313197105063,0.0015572868287563324,0.0015876053366810083,964166,1.0,964021,0,145,0.9998496109591087,0.0,0.0001503890408912988,10,1.0371657992503365e-05,964166,1.0,0.999019980430603,1.0
mid_block.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,mid_block,983040,963600,0.980224609375,5.252718464517377,98.0224609375,0.0012860833667218685,0.027191162109375,0.001312029198743403,saved_w_scale,0.0009705893462523818,0.00098303216509521,1.366798758506775,0.7907251715660095,37.546077370643616,19.421958923339844,43.03196370601654,335515,628085,0.3481890826068908,0.6518109173931091,0.0012861579889431596,0.0013119387440383434,963600,1.0,963499,0,101,0.9998951847239519,0.0,0.00010481527604815277,9,9.33997509339975e-06,963600,1.0,0.9988890886306763,1.0
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,up_blocks.1,983040,965668,0.9823282877604167,5.845251759544342,98.23282877604167,0.0019024722278118134,0.030675888061523438,0.0019366968190297484,saved_w_scale,0.0013091422151774168,0.0013006464578211308,1.4942216873168945,0.8435152173042297,36.07544302940369,18.89728158712387,45.02727687358856,323344,642324,0.3348397171698762,0.6651602828301239,0.0019025533692911267,0.001936580054461956,965668,1.0,965561,0,107,0.9998891958727016,0.0,0.00011080412729840897,6,6.2133155494434944e-06,965668,1.0,0.9991108775138855,1.0
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,up_blocks.1,983040,964564,0.9812052408854167,5.604219834810441,98.12052408854167,0.0013754102401435375,0.02533721923828125,0.0014017557259649038,saved_w_scale,0.0009872548980638385,0.0009885953040793538,1.434630274772644,0.8174377083778381,36.63582801818848,19.298771023750305,44.06540095806122,327613,636951,0.33964879468858467,0.6603512053114153,0.0013754733372479677,0.0014016623608767986,964564,1.0,964454,0,110,0.9998859588373608,0.0,0.00011404116263928573,7,7.257164895227273e-06,964564,1.0,0.9990181922912598,1.0
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight,to_k,up_blocks.1,983040,964606,0.9812479654947917,5.840990794516699,98.12479654947917,0.0019977749325335026,0.03582763671875,0.002035953104496002,saved_w_scale,0.0013700148556381464,0.0013583144173026085,1.4971516132354736,0.8699535131454468,34.78114306926727,19.439439475536346,45.77941596508026,313743,650863,0.3252550782391982,0.6747449217608018,0.001997867599129677,0.002035829471424222,964606,1.0,964497,0,109,0.9998870004955391,0.0,0.00011299950446088869,2,2.0733854029520863e-06,964606,1.0,0.9989679455757141,1.0
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,to_v,up_blocks.1,983040,960293,0.9768605550130208,5.232563967162391,97.68605550130208,0.0014400094514712691,0.0335845947265625,0.001474119839258492,saved_w_scale,0.001120123895816505,0.0011149367783218622,1.3210957050323486,0.7581908106803894,38.68298530578613,19.544972479343414,41.77204370498657,344418,615875,0.3586592841976355,0.6413407158023645,0.0014401021180674434,0.0014739990001544356,960293,1.0,960167,0,126,0.9998687900463713,0.0,0.00013120995362873622,11,1.1454837221556338e-05,960293,1.0,0.9984666109085083,1.0
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_k.weight,to_k,up_blocks.1,983040,966521,0.9831960042317708,5.630373742328076,98.31960042317708,0.001894788583740592,0.0360870361328125,0.001927172881551087,saved_w_scale,0.0013579166261479259,0.0013505291426554322,1.4293227195739746,0.8190550208091736,36.44907772541046,19.539564847946167,44.01135742664337,326608,639913,0.33792126606664524,0.6620787339333548,0.0018948629731312394,0.0019270462216809392,966521,1.0,966428,0,93,0.9999037786038792,0.0,9.622139612072578e-05,10,1.0346386679647934e-05,966521,1.0,0.999057948589325,1.0
