key,stage,family,numel,fp_changed_count,fp_changed_ratio,fp_mean_abs_delta,fp_max_abs_delta,fp_mean_abs_delta_changed_only,q_mean_abs_delta_to_base_all,q_mean_abs_delta_to_base_changed_only,q_survival_count,q_survival_ratio_over_fp_changed,closer_to_fp_count,closer_to_base_count,tie_count,closer_to_fp_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed,tie_ratio_over_fp_changed,same_sign_count,same_sign_ratio_over_fp_changed,mean_shrinkage_ratio_changed_only,median_shrinkage_ratio_changed_only,l1_delta,l2_delta_sq
mid_block.attentions.0.transformer_blocks.0.attn2.to_q.weight,mid,attn2_to_q,1638400,1499596,0.91528076171875,0.00014891270257066935,0.00362396240234375,0.00016269618936348706,0.00014891270257066935,0.00016269618936348706,1499596,1.0,1499596,0,0,1.0,0.0,0.0,1499596,1.0,1.0,1.0,243.97857666015625,0.15888220071792603
up_blocks.2.resnets.0.conv2.weight,up,resnet_conv2,3686400,3223361,0.8743926323784722,6.603138899663463e-05,0.00390625,7.551685848738998e-05,6.603138899663463e-05,7.551685848738998e-05,3223361,1.0,3223284,0,77,0.9999761118906632,0.0,2.388810933680714e-05,3223361,1.0,0.9999880790710449,1.0,243.41810607910156,0.04644063860177994
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q.weight,up,attn2_to_q,1638400,1482766,0.905008544921875,0.00013722416770178825,0.004755973815917969,0.00015162749332375824,0.00013722416770178825,0.00015162749332375824,1482766,1.0,1482766,0,0,1.0,0.0,0.0,1482766,1.0,1.0,1.0,224.8280792236328,0.1257021576166153
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0.weight,down,attn2_to_out,409600,405888,0.9909375,0.0005039423704147339,0.00368499755859375,0.0005085511365905404,0.0005039423704147339,0.0005085511365905404,405888,1.0,405888,0,0,1.0,0.0,0.0,405888,1.0,1.0,1.0,206.414794921875,0.18284228444099426
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_q.weight,up,attn2_to_q,1638400,1480331,0.9035223388671875,0.00012482078454922885,0.003143310546875,0.00013814908743370324,0.00012482078454922885,0.00013814908743370324,1480331,1.0,1480331,0,0,1.0,0.0,0.0,1480331,1.0,1.0,1.0,204.50637817382812,0.08929792046546936
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,down,attn2_to_v,983040,909170,0.9248555501302084,0.00020237288845237345,0.00377655029296875,0.00021881566499359906,0.00020237288845237345,0.00021881566499359906,909170,1.0,909170,0,0,1.0,0.0,0.0,909170,1.0,1.0,1.0,198.94064331054688,0.14061573147773743
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,up,attn2_to_v,983040,897162,0.912640380859375,0.00019819257431663573,0.003589630126953125,0.00021716389164794236,0.00019819257431663573,0.00021716389164794236,897162,1.0,897162,0,0,1.0,0.0,0.0,897162,1.0,1.0,1.0,194.8312225341797,0.14442333579063416
down_blocks.1.resnets.1.conv1.weight,down,resnet_conv1,3686400,3223432,0.8744118923611112,5.26719304616563e-05,0.001953125,6.0236976423766464e-05,5.26719304616563e-05,6.0236976423766464e-05,3223432,1.0,3223338,0,94,0.9999708385348287,0.0,2.916146517128328e-05,3223432,1.0,0.99998539686203,1.0,194.1697998046875,0.028156889602541924
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q.weight,down,attn2_to_q,1638400,1486727,0.9074261474609375,0.00011728439130820334,0.003078460693359375,0.00012924951442983001,0.00011728439130820334,0.00012924951442983001,1486727,1.0,1486727,0,0,1.0,0.0,0.0,1486727,1.0,1.0,1.0,192.15875244140625,0.07167426496744156
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q.weight,down,attn2_to_q,1638400,1487051,0.9076239013671875,0.00011641329911071807,0.003368377685546875,0.00012826161400880665,0.00011641329911071807,0.00012826161400880665,1487051,1.0,1487051,0,0,1.0,0.0,0.0,1487051,1.0,1.0,1.0,190.73155212402344,0.087366983294487
