key,family,block,numel,fp_changed_count,fp_changed_ratio,pct_l2_change,pct_scalar_changed,fp_mean_abs_delta,fp_max_abs_delta,fp_mean_abs_delta_changed_only,qparam_source,bucket_mean,bucket_median,update_over_bucket_mean_changed_only,update_over_bucket_median_changed_only,frac_update_over_bucket_lt_05_changed_only,frac_update_over_bucket_05_1_changed_only,frac_update_over_bucket_ge_1_changed_only,same_bucket_count,cross_bucket_count,same_bucket_ratio_over_fp_changed,cross_bucket_ratio_over_fp_changed,q_mean_abs_delta_to_base_all,q_mean_abs_delta_to_base_changed_only,q_survival_count,q_survival_ratio_over_fp_changed,closer_to_uce_count,closer_to_base_count,tie_count,closer_to_uce_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed,tie_ratio_over_fp_changed,collapse_to_base_q_count,collapse_to_base_q_ratio_over_fp_changed,same_sign_count,same_sign_ratio_over_fp_changed,mean_shrinkage_ratio_changed_only,median_shrinkage_ratio_changed_only
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.0,245760,241160,0.9812825520833334,6.176441490774712,98.12825520833334,0.0022435360588133335,0.041290283203125,0.0022863298654556274,saved_w_scale,0.0015021753497421741,0.00155490858014673,1.531048059463501,0.8859032392501831,34.64339077472687,18.915657699108124,46.44095301628113,78002,163158,0.32344501575717366,0.6765549842428263,0.002243650611490011,0.0022862032055854797,241160,1.0,241148,0,12,0.9999502405042295,0.0,4.975949577044286e-05,0,0.0,241160,1.0,0.9987383484840393,1.0
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.0,245760,240510,0.9786376953125,5.111731945751748,97.86376953125,0.000646760396193713,0.0125732421875,0.0006608781986869872,saved_w_scale,0.0005281089106574655,0.0005200518062338233,1.256900668144226,0.717006504535675,39.96174931526184,20.088978111743927,39.94927406311035,88966,151544,0.36990561723005283,0.6300943827699472,0.0006467989296652377,0.0006608273833990097,240510,1.0,240493,0,17,0.9999293168683215,0.0,7.068313167851648e-05,4,1.663132510082741e-05,240510,1.0,0.9990748763084412,1.0
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.0,245760,240999,0.98062744140625,5.388179564031119,98.062744140625,0.0015725955599918962,0.027645111083984375,0.0016036626184359193,saved_w_scale,0.001359563204459846,0.001301935175433755,1.242425560951233,0.7095386981964111,40.27278125286102,20.04697173833847,39.680248498916626,89494,151505,0.37134593919476844,0.6286540608052316,0.0015726526034995914,0.0016035366570577025,240999,1.0,240972,0,27,0.9998879663401093,0.0,0.00011203365989070493,2,8.298789621533699e-06,240999,1.0,0.9987673163414001,1.0
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.0,245760,241663,0.9833292643229167,4.9823618825642475,98.33292643229167,0.00046571597340516746,0.009821891784667969,0.000473611376946792,saved_w_scale,0.00039312816807068884,0.00031447195215150714,1.3418896198272705,0.791044294834137,36.69241964817047,20.65645158290863,42.6511287689209,82823,158840,0.3427210619747334,0.6572789380252666,0.0004657349199987948,0.00047358337906189263,241663,1.0,241656,0,7,0.9999710340432751,0.0,2.8965956724860652e-05,1,4.137993817837236e-06,241663,1.0,0.999302864074707,1.0
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.1,491520,485006,0.9867472330729167,6.390359345401624,98.67472330729167,0.0022524010855704546,0.03802490234375,0.0022826525382697582,saved_w_scale,0.001406666124239564,0.001401974237523973,1.6335474252700806,0.9364245533943176,33.103713393211365,18.824097514152527,48.07218909263611,149612,335394,0.3084745343356577,0.6915254656643423,0.0022524360101670027,0.002282523550093174,485006,1.0,484982,0,24,0.9999505160760898,0.0,4.9483923910219666e-05,1,2.0618301629258195e-06,485006,1.0,0.9993262887001038,1.0
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.1,491520,482511,0.981671142578125,5.905047643274197,98.1671142578125,0.0007973356987349689,0.0228424072265625,0.0008122227736748755,saved_w_scale,0.0005662184557877481,0.0005462142871692777,1.4285495281219482,0.807453453540802,36.935946345329285,19.4327175617218,43.631336092948914,165290,317221,0.3425621384797445,0.6574378615202555,0.0007973746978677809,0.0008121776627376676,482511,1.0,482495,0,16,0.9999668401342146,0.0,3.3159865785443235e-05,7,1.4507441281131414e-05,482511,1.0,0.9992203116416931,1.0
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.1,491520,484277,0.9852640787760417,6.2479068923122725,98.52640787760417,0.0018274416215717793,0.040618896484375,0.0018547734944149852,saved_w_scale,0.0012171276612207294,0.0011850153096020222,1.531393051147461,0.8853377103805542,34.558939933776855,19.07069683074951,46.37036323547363,156227,328050,0.3225984302372403,0.6774015697627598,0.0018275148468092084,0.0018546973587945104,484277,1.0,484252,0,25,0.9999483766522053,0.0,5.162334779475383e-05,2,4.129867823580306e-06,484277,1.0,0.9992371201515198,1.0
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.1,491520,480893,0.9783793131510417,6.036138527588322,97.83793131510417,0.0006235837936401367,0.02690887451171875,0.0006373639917001128,saved_w_scale,0.0004735174879897386,0.00041159195825457573,1.3409532308578491,0.7783414125442505,37.77763545513153,19.821664690971375,42.400699853897095,169057,311836,0.35154805746808543,0.6484519425319146,0.0006236143526621163,0.000637315446510911,480893,1.0,480875,0,18,0.9999625696360729,0.0,3.743036392711061e-05,12,2.495357595140707e-05,480893,1.0,0.9986391067504883,1.0
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k.weight,to_k,down_blocks.2,983040,965810,0.9824727376302084,6.154337294765742,98.24727376302084,0.0017016552155837417,0.0375823974609375,0.0017320123733952641,saved_w_scale,0.0011023725382983685,0.0011118550319224596,1.5676655769348145,0.9065489172935486,33.98815393447876,18.91811043024063,47.09373414516449,306465,659345,0.3173139644443524,0.6826860355556476,0.0017017287900671363,0.0017319252947345376,965810,1.0,965768,0,42,0.9999565131858233,0.0,4.3486814176701424e-05,6,6.21240202524306e-06,965810,1.0,0.9991018772125244,1.0
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,to_v,down_blocks.2,983040,961286,0.9778706868489583,5.335675710353355,97.78706868489583,0.0009824620792642236,0.022113800048828125,0.001004695426672697,saved_w_scale,0.000749370432458818,0.0007407219964079559,1.3515346050262451,0.7814255356788635,37.821000814437866,19.529256224632263,42.64974296092987,337647,623639,0.3512451029142212,0.6487548970857788,0.0009825291344895959,0.0010046277893707156,961286,1.0,961235,0,51,0.9999469460701602,0.0,5.3053929839818744e-05,6,6.241638804684558e-06,961286,1.0,0.9987054467201233,1.0
