block,same_bucket_ratio_over_fp_changed,cross_bucket_ratio_over_fp_changed,collapse_to_base_q_ratio_over_fp_changed,closer_to_uce_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed
down_blocks.0,0.3518544085391821,0.648145591460818,7.267027135049586e-06,0.9999346394389839,0.0
down_blocks.1,0.33129579013018196,0.668704209869818,1.1413178804761152e-05,0.9999570756246456,0.0
down_blocks.2,0.3371912703521965,0.6628087296478036,5.444337677770421e-06,0.9999528173675812,0.0
mid_block,0.3389929895696022,0.6610070104303978,1.0893710783282779e-05,0.9999564285501317,0.0
up_blocks.1,0.3409409258162707,0.6590590741837293,6.2267007958293465e-06,0.9999598913018194,0.0
up_blocks.2,0.31789310442237556,0.6821068955776245,7.241018445461939e-06,0.9999559036908178,0.0
up_blocks.3,0.37141985350547985,0.6285801464945201,1.2434928731810327e-05,0.9999151022964171,0.0
